"LITTLE, ABNER",PRINCESS ZANDA
"LITTLE, ABNER",BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,PRINCESS ZANDA
"LITTLE, ABNER",PRINCESS ZANDA
"LITTLE, ABNER",BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,PRINCESS ZANDA
"STEELE, SIMON/WOLFGA","FORTUNE, DOMINIC"
"STEELE, SIMON/WOLFGA","ERWIN, CLYTEMNESTRA"
"STEELE, SIMON/WOLFGA",IRON MAN/TONY STARK 
"STEELE, SIMON/WOLFGA",IRON MAN IV/JAMES R.
"STEELE, SIMON/WOLFGA","RAVEN, SABBATH II/EL"
"RAVEN, SABBATH II/EL","FORTUNE, DOMINIC"
"RAVEN, SABBATH II/EL","ERWIN, CLYTEMNESTRA"
"RAVEN, SABBATH II/EL",IRON MAN/TONY STARK 
"RAVEN, SABBATH II/EL",IRON MAN IV/JAMES R.
IRON MAN IV/JAMES R.,"FORTUNE, DOMINIC"
IRON MAN IV/JAMES R.,"ERWIN, CLYTEMNESTRA"
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,"FORTUNE, DOMINIC"
IRON MAN/TONY STARK ,"ERWIN, CLYTEMNESTRA"
"ERWIN, CLYTEMNESTRA","FORTUNE, DOMINIC"
PRINCESS ZANDA,BLACK PANTHER/T'CHAL
PRINCESS ZANDA,"LITTLE, ABNER"
"LITTLE, ABNER",BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,"LITTLE, ABNER"
BLACK PANTHER/T'CHAL,PRINCESS ZANDA
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR
BLACK PANTHER/T'CHAL,"LITTLE, ABNER"
"LITTLE, ABNER",PRINCESS ZANDA
"LITTLE, ABNER",CARNIVORE/COUNT ANDR
CARNIVORE/COUNT ANDR,PRINCESS ZANDA
BLACK PANTHER/T'CHAL,PRINCESS ZANDA
BLACK PANTHER/T'CHAL,"LITTLE, ABNER"
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR
CARNIVORE/COUNT ANDR,PRINCESS ZANDA
CARNIVORE/COUNT ANDR,"LITTLE, ABNER"
"LITTLE, ABNER",PRINCESS ZANDA
PRINCESS ZANDA,CARNIVORE/COUNT ANDR
PRINCESS ZANDA,BLACK PANTHER/T'CHAL
PRINCESS ZANDA,"LITTLE, ABNER"
"LITTLE, ABNER",CARNIVORE/COUNT ANDR
"LITTLE, ABNER",BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR
GHOST,IRON MAN/TONY STARK 
GHOST,"ZIMMER, ABE"
GHOST,IRON MAN IV/JAMES R.
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK 
IRON MAN IV/JAMES R.,"ZIMMER, ABE"
"ZIMMER, ABE",IRON MAN/TONY STARK 
FU MANCHU,"TARR, BLACK JACK"
FU MANCHU,"SMITH, SIR DENIS NAY"
FU MANCHU,SHANG-CHI
SHANG-CHI,"TARR, BLACK JACK"
SHANG-CHI,"SMITH, SIR DENIS NAY"
"SMITH, SIR DENIS NAY","TARR, BLACK JACK"
STARSHINE II/BRANDY ,"ROM, SPACEKNIGHT"
SHANG-CHI,FU MANCHU
SHANG-CHI,"TARR, BLACK JACK"
SHANG-CHI,MAN-THING/THEODORE T
SHANG-CHI,"SMITH, SIR DENIS NAY"
"SMITH, SIR DENIS NAY",FU MANCHU
"SMITH, SIR DENIS NAY","TARR, BLACK JACK"
"SMITH, SIR DENIS NAY",MAN-THING/THEODORE T
MAN-THING/THEODORE T,FU MANCHU
MAN-THING/THEODORE T,"TARR, BLACK JACK"
"TARR, BLACK JACK",FU MANCHU
SHANG-CHI,"SMITH, SIR DENIS NAY"
SHANG-CHI,FU MANCHU
SHANG-CHI,"TARR, BLACK JACK"
"TARR, BLACK JACK","SMITH, SIR DENIS NAY"
"TARR, BLACK JACK",FU MANCHU
FU MANCHU,"SMITH, SIR DENIS NAY"
"WU, LEIKO",DOCTOR DREDD
"WU, LEIKO","TARR, BLACK JACK"
"WU, LEIKO",STARSHINE II/BRANDY 
"WU, LEIKO",SHANG-CHI
"WU, LEIKO","ROM, SPACEKNIGHT"
"WU, LEIKO","RESTON, CLIVE"
"WU, LEIKO","SMITH, SIR DENIS NAY"
"WU, LEIKO","JACKSON, STEVE"
"JACKSON, STEVE",DOCTOR DREDD
"JACKSON, STEVE","TARR, BLACK JACK"
"JACKSON, STEVE",STARSHINE II/BRANDY 
"JACKSON, STEVE",SHANG-CHI
"JACKSON, STEVE","ROM, SPACEKNIGHT"
"JACKSON, STEVE","RESTON, CLIVE"
"JACKSON, STEVE","SMITH, SIR DENIS NAY"
"SMITH, SIR DENIS NAY",DOCTOR DREDD
"SMITH, SIR DENIS NAY","TARR, BLACK JACK"
"SMITH, SIR DENIS NAY",STARSHINE II/BRANDY 
"SMITH, SIR DENIS NAY",SHANG-CHI
"SMITH, SIR DENIS NAY","ROM, SPACEKNIGHT"
"SMITH, SIR DENIS NAY","RESTON, CLIVE"
"RESTON, CLIVE",DOCTOR DREDD
"RESTON, CLIVE","TARR, BLACK JACK"
"RESTON, CLIVE",STARSHINE II/BRANDY 
"RESTON, CLIVE",SHANG-CHI
"RESTON, CLIVE","ROM, SPACEKNIGHT"
"ROM, SPACEKNIGHT",DOCTOR DREDD
"ROM, SPACEKNIGHT","TARR, BLACK JACK"
"ROM, SPACEKNIGHT",STARSHINE II/BRANDY 
"ROM, SPACEKNIGHT",SHANG-CHI
SHANG-CHI,DOCTOR DREDD
SHANG-CHI,"TARR, BLACK JACK"
SHANG-CHI,STARSHINE II/BRANDY 
STARSHINE II/BRANDY ,DOCTOR DREDD
STARSHINE II/BRANDY ,"TARR, BLACK JACK"
"TARR, BLACK JACK",DOCTOR DREDD
"SMITH, SIR DENIS NAY",SHANG-CHI
"SMITH, SIR DENIS NAY",STARSHINE II/BRANDY 
